query,score,name,type,id,image,description,url,article
alfalfa sprouts,3056.411865234375,Alfalfa sprouts,Thing,kg:/m/0446bxx,,Sprouting,,
aloe vera,29052.607421875,Aloe vera,Thing,kg:/m/059h5_,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_RBuEZ3neeG4NjkIAsSOSlSXMrzQkCHen_JsJPNw6h2mogmYL,Plants,https://en.wikipedia.org/wiki/Aloe_vera,"Aloe vera is a succulent plant species of the genus Aloe. An evergreen perennial, it originates from the Arabian Peninsula, but grows wild in tropical, semi-tropical, and arid climates around the world. "
aloe vera,24.0,Aloe Vera,Thing,kg:/g/11fqdf20r1,,,,
aloe vera,24.0,Aloe vera,Thing,kg:/g/11c47fvsd2,,,,
apples,2814.62109375,Apples,Thing,kg:/m/01qd72,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTgJkIA3OuLUz52PZvUKYvM9R3tH7QVRu2a-NEhCXBPcLf6x9Wa,Plants,https://en.wikipedia.org/wiki/Malus,"Malus is a genus of about 30–55 species of small deciduous trees or shrubs in the family Rosaceae, including the domesticated orchard apple – also known as the eating apple, cooking apple, or culinary apple. "
apples,1263.973266601562,Apple sauce,Thing,kg:/m/0ckq2,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRIW8O7JPpVmUROw4I5M7-fhfG2U2Bpx1BKs6YZKHzpCfOm-k6x,,https://en.wikipedia.org/wiki/Apple_sauce,Apple sauce or applesauce is a sauce made of apples. It can be made with flat top or unpeeled apples and a variety of spices. Flavorings or sweeteners such as sugar or honey are also commonly added. 
apples,918.0103759765625,Apple,Thing,kg:/m/014j1m,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT5l2D425lUJrJIeeCQL-rNyZha4kdl-FlI1PV1CmylUdN5aP8-,Fruit,https://en.wikipedia.org/wiki/Apple,"An apple is a sweet, edible fruit produced by an apple tree. Apple trees are cultivated worldwide and are the most widely grown species in the genus Malus. "
apples,673.3954467773438,Nonsense,Thing,kg:/m/022cr0,,,https://en.wikipedia.org/wiki/Nonsense,"Nonsense is a communication, via speech, writing, or any other symbolic system, that lacks any coherent meaning. Sometimes in ordinary usage, nonsense is synonymous with absurdity or the ridiculous. "
apples,279.90087890625,Granny Smith,Thing,kg:/m/01_12b,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQlxS1nvsQweYGcHhxWwImdazfwE71TyeXSNE8BCtW6L_E1Rq-J,,https://en.wikipedia.org/wiki/Granny_Smith,"The Granny Smith is a tip-bearing apple cultivar, which originated in Australia in 1868. It is named after Maria Ann Smith, who propagated the cultivar from a chance seedling. "
apples,272.0057373046875,Apples,Thing City Place,kg:/m/02n11p,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSVIN_Jj_UXPBoXiqdNp6PPGuiTZHxaJ9emVnUAgMDwgWwU4VjJ,Municipality in Switzerland,"https://en.wikipedia.org/wiki/Apples,_Vaud",Apples is a municipality in the district of Morges in the canton of Vaud in Switzerland.
